Timestamp,EAR,Status
2025-05-26 11:18:04.558220,0.12,Drowsy
2025-05-26 11:18:05.152451,0.13,Drowsy
2025-05-26 11:18:05.743954,0.12,Drowsy
2025-05-26 11:18:06.324862,0.11,Drowsy
2025-05-26 11:18:06.916704,0.11,Drowsy
2025-05-26 11:21:17.138858,0.14,Drowsy
2025-05-26 16:23:22.251869,0.03,Drowsy
2025-05-26 16:23:22.866395,0.03,Drowsy
2025-05-26 16:23:23.492733,0.05,Drowsy
2025-05-26 16:23:24.166935,0.08,Drowsy
2025-05-27 11:05:04.285380,0.09,Drowsy
2025-05-27 11:05:04.892894,0.09,Drowsy
2025-05-27 11:05:05.487262,0.07,Drowsy
2025-05-27 11:06:49.861245,0.02,Drowsy
2025-05-27 11:06:50.578060,0.03,Drowsy
2025-05-27 11:06:51.169149,0.04,Drowsy
2025-05-27 11:06:51.761193,0.03,Drowsy
2025-05-27 11:06:52.337679,0.02,Drowsy
2025-05-27 18:24:39.218234,0.04,Drowsy
2025-05-27 18:24:39.838989,0.02,Drowsy
2025-05-27 18:24:40.430918,0.03,Drowsy
2025-05-27 18:24:41.147334,0.02,Drowsy
2025-05-27 18:24:41.786404,0.01,Drowsy
2025-05-27 18:24:42.373166,0.05,Drowsy
2025-05-27 18:24:42.968395,0.2,Drowsy
2025-05-27 18:35:04.768507,0.03,Drowsy
2025-05-27 18:35:05.369263,0.04,Drowsy
2025-05-27 18:35:05.945512,0.04,Drowsy
2025-05-27 18:35:06.524737,0.04,Drowsy
2025-05-27 18:35:07.112739,0.05,Drowsy
2025-05-27 18:35:07.704216,0.06,Drowsy
2025-05-27 18:46:19.834701,0.03,Drowsy
2025-05-27 18:46:20.424380,0.04,Drowsy
2025-05-27 18:46:21.002943,0.02,Drowsy
2025-05-27 18:46:21.594194,0.02,Drowsy
2025-05-27 18:46:22.188690,0.01,Drowsy
2025-05-27 18:46:22.793456,0.04,Drowsy
2025-05-27 18:46:23.385938,0.05,Drowsy
2025-05-27 18:46:23.962932,0.11,Drowsy
2025-05-27 19:03:55.069115,0.06,Drowsy
2025-05-27 19:03:55.676517,0.04,Drowsy
2025-05-27 19:04:00.816926,0.05,Drowsy
2025-05-27 19:04:01.408307,0.07,Drowsy
2025-05-27 19:04:01.970403,0.06,Drowsy
2025-05-27 19:04:02.547570,0.04,Drowsy
2025-05-27 19:04:03.122388,0.07,Drowsy
2025-05-27 19:15:33.382834,0.05,Drowsy
2025-05-27 19:15:33.991829,0.04,Drowsy
2025-05-27 19:15:34.612761,0.06,Drowsy
2025-05-27 19:15:35.222261,0.05,Drowsy
2025-05-27 19:15:35.821342,0.06,Drowsy
2025-05-27 19:15:36.494248,0.05,Drowsy
2025-05-27 19:15:37.120229,0.05,Drowsy
2025-05-27 19:15:37.743330,0.05,Drowsy
2025-05-27 19:15:38.353570,0.06,Drowsy
2025-05-27 19:15:38.959079,0.2,Drowsy
2025-05-27 19:16:34.669862,0.05,Drowsy
2025-05-27 19:16:35.266323,0.03,Drowsy
2025-05-27 19:22:23.724226,0.03,Drowsy
2025-05-27 19:22:24.315312,0.03,Drowsy
2025-05-27 19:22:24.892769,0.03,Drowsy
2025-05-27 19:22:25.498435,0.19,Drowsy
2025-05-27 19:22:51.869144,0.06,Drowsy
2025-05-27 19:22:52.538975,0.05,Drowsy
2025-05-27 19:22:53.130293,0.05,Drowsy
2025-05-27 19:22:53.708264,0.07,Drowsy
2025-05-27 19:22:54.299621,0.06,Drowsy
2025-05-27 19:24:54.555290,0.02,Drowsy
2025-05-27 19:24:55.134882,0.04,Drowsy
2025-05-27 19:24:55.725321,0.05,Drowsy
2025-05-27 19:24:56.303492,0.02,Drowsy
2025-05-27 19:24:56.894116,0.01,Drowsy
2025-05-27 19:24:57.481701,0.02,Drowsy
2025-05-27 19:24:58.060593,0.04,Drowsy
2025-05-27 19:35:57.344255,0.03,Drowsy
2025-05-27 19:35:57.921622,0.03,Drowsy
2025-05-27 19:35:58.513185,0.07,Drowsy
2025-05-27 19:42:34.095761,0.07,Drowsy
2025-05-27 19:42:40.137433,0.04,Drowsy
2025-05-27 19:42:40.729583,0.06,Drowsy
2025-05-27 19:42:41.322539,0.06,Drowsy
2025-05-27 19:42:41.915605,0.06,Drowsy
2025-05-27 19:42:42.518323,0.05,Drowsy
2025-05-27 19:42:43.098120,0.08,Drowsy
2025-05-27 19:42:43.674311,0.07,Drowsy
2025-05-27 19:42:44.279812,0.18,Drowsy
2025-05-27 19:44:31.282578,0.03,Drowsy
2025-05-27 19:44:31.890965,0.07,Drowsy
2025-05-27 19:44:32.468894,0.09,Drowsy
2025-05-27 19:44:33.062847,0.07,Drowsy
2025-05-27 19:44:33.684009,0.06,Drowsy
2025-05-27 19:44:34.284027,0.06,Drowsy
2025-05-27 19:44:34.849799,0.07,Drowsy
2025-05-27 19:44:35.427168,0.07,Drowsy
2025-05-27 19:44:36.006847,0.08,Drowsy
2025-05-27 19:44:36.597637,0.08,Drowsy
2025-05-27 19:44:37.187535,0.06,Drowsy
2025-05-27 19:45:58.425228,0.02,Drowsy
2025-05-27 19:45:59.011707,0.06,Drowsy
2025-05-27 19:45:59.592399,0.07,Drowsy
2025-05-27 19:46:00.186136,0.18,Drowsy
2025-05-27 19:46:38.231234,0.02,Drowsy
2025-05-27 19:46:38.807452,0.04,Drowsy
2025-05-27 19:46:39.395036,0.04,Drowsy
2025-05-27 19:46:45.288896,0.07,Drowsy
2025-06-02 13:48:07.471050,0.05,Drowsy
2025-06-02 13:48:08.090745,0.07,Drowsy
2025-06-02 13:48:08.701853,0.05,Drowsy
2025-06-02 13:48:09.280620,0.17,Drowsy
2025-06-04 19:15:23.459439,0.04,Drowsy
2025-06-04 19:15:24.064035,0.02,Drowsy
2025-06-04 19:15:24.655511,0.03,Drowsy
2025-06-04 19:15:25.243856,0.06,Drowsy
2025-06-04 19:15:25.835406,0.05,Drowsy
2025-06-04 19:15:26.413750,0.03,Drowsy
2025-06-04 19:15:27.021195,0.15,Drowsy
2025-06-05 12:08:19.106188,0.08,Drowsy
2025-06-05 12:08:19.731033,0.08,Drowsy
2025-06-05 12:08:20.320257,0.1,Drowsy
2025-06-05 12:08:20.895259,0.08,Drowsy
2025-06-05 12:08:21.501563,0.09,Drowsy
2025-06-05 12:08:22.232569,0.08,Drowsy
2025-06-09 14:43:35.016138,0.05,Drowsy
2025-06-09 14:43:35.626430,0.07,Drowsy
2025-06-09 14:43:36.189340,0.06,Drowsy
2025-06-09 14:43:36.793762,0.07,Drowsy
2025-06-09 14:50:04.154254,0.08,Drowsy
2025-06-09 14:50:04.728009,0.07,Drowsy
2025-06-09 14:50:05.304533,0.09,Drowsy
2025-06-09 14:50:05.896030,0.07,Drowsy
2025-06-09 14:50:06.491086,0.07,Drowsy
2025-06-09 14:50:07.066320,0.07,Drowsy
2025-06-09 14:50:07.643150,0.07,Drowsy
2025-06-09 14:50:08.220777,0.1,Drowsy
2025-06-09 14:50:08.812816,0.09,Drowsy
2025-06-09 14:51:25.763448,0.1,Drowsy
2025-06-09 14:51:26.438353,0.1,Drowsy
2025-06-09 14:51:27.026276,0.09,Drowsy
2025-06-09 14:51:27.630994,0.14,Drowsy
2025-06-09 14:51:28.206541,0.1,Drowsy
2025-06-09 14:51:28.851196,0.11,Drowsy
2025-06-09 14:51:29.452874,0.11,Drowsy
2025-06-09 14:51:57.129964,0.05,Drowsy
2025-06-09 14:51:57.735675,0.08,Drowsy
2025-06-09 14:51:58.316647,0.09,Drowsy
